conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869,skill/competence,transversal,розв’язувати проблеми,released,,"Знаходити рішення для практичних, операційних чи концептуальних проблем у широкому колі контекстів.
	",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,вирішення проблем
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9,skill/competence,transversal,делегувати відповідальність,released,,"Делегувати іншим обов’язки, діяльність і завдання відповідно до здібностей, рівня підготовки та компетенцій. Переконуватися, що люди розуміють, що і коли вони повинні робити.
	",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,керівництво іншими
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b080a008-a35d-4bd0-92e9-edf3773bb2b7,skill/competence,transversal,використовувати програмне забезпечення для комунікації та співпраці,released,,"Використовувати прості цифрові інструменти й технології для спілкування, взаємодії та співпраці з іншими.
	",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,робота із цифровими пристроями й прикладними програмами
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,skill/competence,transversal,формувати командний дух,released,,"Будувати відносини взаємодовіри, поваги та співпраці серед членів одного колективу.
	",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,керівництво іншими
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b40584aa-7c63-4eed-9422-a9798fb95fdc,skill/competence,transversal,імпровізувати,released,,"Вміти імпровізувати та реагувати негайно і без попереднього плану на ситуації, про які раніше не було відомо.
	",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,творче й інноваційне мислення
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b618584f-6bdf-4d8f-89a7-f28c2c95afc2,skill/competence,transversal,дотримуватися правил,released,,"Дотримуватися правил, норм і настанов, пов’язаних із конкретною сферою чи конкретним сектором, поважати їх та застосовувати в повсякденному житті.
	",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,дотримання етичного кодексу поведінки
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b6bdf202-524f-475d-b813-2aa9af005c37,skill/competence,transversal,переміщати предмети,released,,"Виконувати фізичну роботу з переміщення, завантаження, вивантаження або зберігання предметів вручну або за допомогою обладнання.
	",http://data.europa.eu/esco/skill/ccb6db6a-8538-431c-b740-5f241bdb71cf,маніпулювання та керування об’єктами й обладнанням
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ba93b71b-c433-4a01-8246-ed2daa85a9a2,skill/competence,transversal,здійснювати пошук в інтернеті,released,,"Шукати дані, інформацію й контент через простий пошук у цифровому середовищі.
	",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,робота із цифровими пристроями й прикладними програмами
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,skill/competence,cross-sector,керувати цифровою ідентичністю,released,,"Створювати одну або декілька цифрових ідентичностей та розпоряджатись ними, уміти захищати свою репутацію, працювати з даними, створеними за допомогою декількох цифрових інструментів, середовищ та послуг.
	",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,цифрове спілкування та співпраця | робота із цифровими пристроями й прикладними програмами
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bcf002ce-90f8-42e5-ac1b-5dba208639b0,skill/competence,transversal,демонструвати надійність,released,,"Демонструвати чесність, щирість і надійність на робочому місці. Виявляти лояльність до своєї команди й організації та доводити добросовісність.
	",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,дотримання етичного кодексу поведінки
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e,skill/competence,transversal,проявляти підприємницький хист,released,,"Створювати, організовувати власне комерційне підприємство та здійснювати управління ним, визначаючи і використовуючи можливості, мобілізуючи ресурси та пам’ятаючи про перспективи прибутковості. Демонструвати проактивне ставлення та рішучість досягти успіху в бізнесі.
	",http://data.europa.eu/esco/skill/6c6957bf-cf1f-4483-9c7e-1655f251b01a,застосування підприємницьких і фінансових навичок та компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/be6ab363-3de1-427f-a8ef-85d5b0250822,skill/competence,transversal,повідомляти про факти,released,,"Передавати інформацію або розповідати про події усно.
	",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,спілкування
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,skill/competence,transversal,застосовувати базові навички програмування,released,,"Складати переліки простих інструкцій для обчислювальної системи, щоб вирішувати проблеми або виконувати завдання на базовому рівні та, за необхідності, під належним керівництвом.
	",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,робота із цифровими пристроями й прикладними програмами
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf983f2a-e941-4646-811d-cc81060cb53f,skill/competence,transversal,будувати мережі,released,,"Демонструвати здатність налагоджувати ефективні відносини, розвивати та підтримувати об’єднання, контакти чи партнерства та обмінюватися інформацією з іншими.
	",http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,співпраця в командах і спільнотах
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c10d5d87-36cf-42f5-8a12-e560fb5f4af8,skill/competence,transversal,демонструвати навички міжкультурного спілкування,released,,"Розуміти та поважати людей, яких вважають спорідненими з іншими культурами, відповідати їм ввічливо і щодо суті.
	",http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,співпраця в командах і спільнотах
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c29aa9d2-4da8-4bdd-831c-8d4a2fb51730,skill/competence,transversal,працювати самостійно,released,,"Розробляти власні способи виконання завдань, мотивуючи себе під незначним наглядом або без нього і покладаючись на себе, щоб досягти результату.
	",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,ефективна робота
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,skill/competence,transversal,мислити інноваційно,released,,"Розробляти ідеї або рішення, що призводять до створення та впровадження інновацій чи змін.
	",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,творче й інноваційне мислення
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4180af3-befd-4bd8-9a65-6a496f9d9f15,skill/competence,transversal,демонструвати обізнаність із ризиками для здоров’я,released,,"Уміти оцінювати ризики для особистого здоров’я та управляти ними, наприклад, дотримуючись техніки безпеки під час роботи, застосовуючи заходи пожежної безпеки, дотримуючись норм ергономіки і застосовуючи їх та враховуючи вплив наркотиків й алкоголю на окремих осіб, сім’ї та спільноти.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,"застосування навичок і компетенцій, пов’язаних зі здоров’ям"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c624c6a3-b0ba-4a31-a296-0d433fe47e41,skill/competence,transversal,мислити творчо,released,,"Породжувати нові ідеї або поєднувати наявні для розроблення інноваційних та новітніх рішень.
	",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,творче й інноваційне мислення
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d56e2c2f-3e01-4b76-a7bb-ecb6d430172f,skill/competence,transversal,мислити комплексно,released,,"Ураховувати непрямі та довготривалі наслідки під час планування та ухвалення рішень. Зважати на вплив на людей, процеси та довкілля та включати його в свої плани.
	",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"обробка інформації, ідей та концепцій"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47,skill/competence,transversal,ухвалювати рішення,released,,"Вибирати з кількох альтернативних можливостей.
	",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,застосування проактивного підходу
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d822b4b2-26c7-4bd9-970d-229c6504f615,skill/competence,transversal,створювати цифровий контент,released,,"Створювати та редагувати прості елементи цифрового контенту, за необхідності під керівництвом.
	",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,робота із цифровими пристроями й прикладними програмами
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8,skill/competence,transversal,ефективно використовувати час,released,,"Планувати часову послідовність заходів, програм та дій, а також роботи інших.
	",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,ефективна робота
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d9449998-c1f5-478c-a103-2255398cf0b6,skill/competence,transversal,дотримуватися гігієнічних норм,released,,"Брати особисту відповідальність за гарантування безпечного й асептичного робочого та побутового середовища, включно з використанням масок, дезінфекційних засобів і загальних засобів особистої гігієни.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,"застосування навичок і компетенцій, пов’язаних зі здоров’ям"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/db33c0f3-43ee-4ba3-ba47-9269ac837697,skill/competence,transversal,критично оцінювати інформацію та її джерела,released,,"Уміти оцінювати та аналізувати інформацію і її джерела. Демонструвати здатність отримувати доступ до традиційних і нових форм медіа, критично оцінювати їх і їхні роль та функцію в демократичних суспільствах.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,застосування громадянських навичок і компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/dcc99418-d896-4b3b-8596-658093a17a8f,skill/competence,transversal,лікувати хронічні патології,released,,"Визначати та застосовувати способи мінімізації негативного впливу хронічних патологічних станів, включно з користуванням допоміжними засобами для зору, слуху і ходьби, відповідними лікарськими засобами та належною соціальною і медичною підтримкою.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,"застосування навичок і компетенцій, пов’язаних зі здоров’ям"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/deb3c1bc-d48a-42e6-b0cc-cb238534ec28,skill/competence,transversal,застосовувати знання з соціальних та гуманітарних наук,released,,"Демонструвати розуміння природи, множинності та функції соціальних і політичних груп та їхнього зв’язку із соціально-економічним виміром суспільства. Розуміти роль і місце осіб у суспільстві.
	",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,застосування загальних знань
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df5e3d02-9f0f-44ee-91c2-85c62f161868,skill/competence,transversal,"просувати ідеї, продукти, послуги",released,,"Представляти та рекламувати продукцію, програми і послуги, щоб переконати інших та вплинути на них.
	",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,спілкування
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e2d44a9b-f28c-489e-9861-b654b5ded507,skill/competence,transversal,мотивувати інших,released,,"Скеровувати поведінку інших людей, вказуючи переконливу причину для дії.
	",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,керівництво іншими
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c,skill/competence,transversal,дотримуватися зобов’язань щодо конфіденційності,released,,"Зберігати необхідну обачність і стриманість під час роботи з конфіденційною, секретною або неприємною інформацією.
	",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,дотримання етичного кодексу поведінки
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,skill/competence,transversal,планувати,released,,"Управляти своїми графіком і ресурсами, щоб вчасно завершити завдання.
	",http://data.europa.eu/esco/skill/66fdc34c-2326-4baa-b8ff-7a1d1015fe3a,планування й організація
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ef7562b2-f176-4d7c-a0b2-27ae8cce0b7d,skill/competence,transversal,реагувати на фізичні зміни або небезпеку,released,,"Швидко й належно реагувати та відповідати на зовнішні або внутрішні обставини й стимули.
	",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,реагування на фізичні обставини
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f4346299-e22a-4686-8e61-2c9b0cd51c7d,skill/competence,transversal,застосовувати цифрові заходи безпеки,released,,"Використовувати прості способи для захисту цифрових пристроїв і контенту.
	",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,робота із цифровими пристроями й прикладними програмами
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f4bcdb75-df28-441d-a52b-9730904f36a1,skill/competence,transversal,реалізовувати права та обов’язки,released,,"Знати про конституційні і юридичні права, зокрема про обов’язок дотримуватися законодавства, сплачувати податки й надавати допомогу, про право голосу, право бути обраним чи право на присутність адвоката в залі суду, та користуватися ними.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,застосування громадянських навичок і компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fa46a48d-9cb9-422d-afab-1047654dbcdd,skill/competence,transversal,запам’ятовувати інформацію,released,,"Зберігати інформацію, як-от слова, числа, зображення та процедури, для подальшого використання.
	",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"обробка інформації, ідей та концепцій"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fd89f784-88dc-4d35-abd7-86aa073cab12,skill/competence,transversal,зберігати відкритість до всього нового,released,,"Виявляти інтерес та відкритість до проблем інших.
	",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,демонстрація бажання вчитися
